quarter,time,team,player_name,event_text,home_score,away_score
Q1,03:56,home,Андреан Деков,"<div class=""div_info"">
<a class=""player_name"" href=""player-18487-andrean-dekov"">Андреан Деков</a>отнета топка</div>",,
Q1,05:04,away,Стефан Милев,"<div class=""div_info"">
<a class=""player_name"" href=""player-13416-stefan-milev"">Стефан Милев</a>смяна влиза</div>",,
Q1,05:04,home,Валери Пейков,"<div class=""div_info"">
<a class=""player_name"" href=""player-9382-valeri-peikov"">Валери Пейков</a>смяна влиза</div>",,
Q1,05:04,away,Денислав Димитров,"<div class=""div_info"">
<a class=""player_name"" href=""player-14511-denislav-dimitrov"">Денислав Димитров</a>смяна излиза</div>",,
Q1,05:15,away,Дзежен Дай,"<div class=""div_info"">
<a class=""player_name"" href=""player-17432-dzejen-dai"">Дзежен Дай</a>грешка при дрибъл</div>",,
Q1,05:33,home,Теодор Върбанов,"<div class=""div_info"">
<a class=""player_name"" href=""player-21943-teodor-vyrbanov"">Теодор Върбанов</a>опит за стрелба за 2т., поднасяне<br/>успешен (7 точки)</div>",10,6
Q1,05:38,home,Константин Търновски,"<div class=""div_info"">
<a class=""player_name"" href=""player-13091-konstantin-tyrnovski"">Константин Търновски</a>3 стрелба с отскок</div>",,
Q1,05:56,away,Димитър Рачев,"<div class=""div_info"">
<a class=""player_name"" href=""player-13187-dimityr-rachev"">Димитър Рачев</a>асистенция</div>",,
Q1,05:56,home,Антонио Станков,"<div class=""div_info"">
<a class=""player_name"" href=""player-1445-antonio-stankov"">Антонио Станков</a>борба в защита</div>",,
Q1,05:56,away,Денислав Димитров,"<div class=""div_info"">
<a class=""player_name"" href=""player-14511-denislav-dimitrov"">Денислав Димитров</a>3 стрелба с отскок</div>",,
Q1,05:56,away,Йосиф Омар,"<div class=""div_info"">
<a class=""player_name"" href=""player-10398-iosif-omar"">Йосиф Омар</a>борба в нападение</div>",,
Q1,05:56,away,Димитър Балъков,"<div class=""div_info"">
<a class=""player_name"" href=""player-17394-dimityr-balykov"">Димитър Балъков</a>борба в защита</div>",,
Q1,05:56,away,Йосиф Омар,"<div class=""div_info"">
<a class=""player_name"" href=""player-10398-iosif-omar"">Йосиф Омар</a>опит за стрелба за 2т., поднасяне<br/>успешен (34 точки)</div>",8,6
Q1,05:56,away,Димитър Балъков,"<div class=""div_info"">
<a class=""player_name"" href=""player-17394-dimityr-balykov"">Димитър Балъков</a>3 стрелба с отскок</div>",,
Q1,06:02,home,Антонио Станков,"<div class=""div_info"">
<a class=""player_name"" href=""player-1445-antonio-stankov"">Антонио Станков</a>лично нарушение</div>",,
Q1,06:02,away,Димитър Рачев,"<div class=""div_info"">
<a class=""player_name"" href=""player-13187-dimityr-rachev"">Димитър Рачев</a>понесено нарушение</div>",,
Q1,06:14,home,Теодор Върбанов,"<div class=""div_info"">
<a class=""player_name"" href=""player-21943-teodor-vyrbanov"">Теодор Върбанов</a>борба в нападение</div>",,
Q1,06:14,home,Андреан Деков,"<div class=""div_info"">
<a class=""player_name"" href=""player-18487-andrean-dekov"">Андреан Деков</a>опит за стрелба от 2т.<br/>неуспешен</div>",,
Q1,06:14,home,Теодор Върбанов,"<div class=""div_info"">
<a class=""player_name"" href=""player-21943-teodor-vyrbanov"">Теодор Върбанов</a>борба в защита</div>",,
Q1,06:14,away,Димитър Рачев,"<div class=""div_info"">
<a class=""player_name"" href=""player-13187-dimityr-rachev"">Димитър Рачев</a>3 стрелба с отскок</div>",,
Q1,06:15,away,Димитър Рачев,"<div class=""div_info"">
<a class=""player_name"" href=""player-13187-dimityr-rachev"">Димитър Рачев</a>лично нарушение</div>",,
Q1,06:15,away,Димитър Рачев,"<div class=""div_info"">
<a class=""player_name"" href=""player-13187-dimityr-rachev"">Димитър Рачев</a>грешка при дрибъл</div>",,
